ags,plz,ort,kreis,bundesland,lat,lon,lat_kreis,lon_kreis,deprecated,einwohner,prim_plz
01051016,25712,Burg (Dithmarschen),Kreis Dithmarschen,Schleswig-Holstein,53.997696,9.256667,54.13312,9.079911,0,4150,1
01051017,25719,Busenwurth,Kreis Dithmarschen,Schleswig-Holstein,54.038486,9.038237,54.13312,9.079911,0,308,1
01051019,25786,Dellstedt,Kreis Dithmarschen,Schleswig-Holstein,54.23693,9.370429,54.13312,9.079911,0,718,1
01051020,25788,Delve,Kreis Dithmarschen,Schleswig-Holstein,54.302177,9.250373,54.13312,9.079911,0,760,1
01051021,25709,Diekhusen-Fahrstedt,Kreis Dithmarschen,Schleswig-Holstein,53.945515,9.020428,54.13312,9.079911,0,675,1
01051022,25715,Dingen,Kreis Dithmarschen,Schleswig-Holstein,53.958218,9.130065,54.13312,9.079911,0,648,1
01051023,25794,Dörpling,Kreis Dithmarschen,Schleswig-Holstein,54.26015,9.304237,54.13312,9.079911,0,637,1
01051024,25715,Eddelak,Kreis Dithmarschen,Schleswig-Holstein,53.946587,9.139761,54.13312,9.079911,0,1330,1
01051026,25721,Eggstedt,Kreis Dithmarschen,Schleswig-Holstein,54.052284,9.2615,54.13312,9.079911,0,761,1
01051027,25704,Elpersbüttel,Kreis Dithmarschen,Schleswig-Holstein,54.07333,9.045015,54.13312,9.079911,0,851,1
01051028,25704,Epenwöhrden,Kreis Dithmarschen,Schleswig-Holstein,54.11033,9.052078,54.13312,9.079911,0,766,1
01051030,25779,Fedderingen,Kreis Dithmarschen,Schleswig-Holstein,54.281773,9.130633,54.13312,9.079911,0,265,1
01051032,25727,Frestedt,Kreis Dithmarschen,Schleswig-Holstein,54.0245,9.176792,54.13312,9.079911,0,337,1
01051033,25764,Friedrichsgabekoog,Kreis Dithmarschen,Schleswig-Holstein,54.153744,8.936473,54.13312,9.079911,0,52,1
01051034,25718,Friedrichskoog,Kreis Dithmarschen,Schleswig-Holstein,54.007286,8.884123,54.13312,9.079911,0,2403,1
01051035,25782,Gaushorn,Kreis Dithmarschen,Schleswig-Holstein,54.19527,9.225316,54.13312,9.079911,0,175,1
01051036,25779,Glüsing,Kreis Dithmarschen,Schleswig-Holstein,54.2734,9.218561,54.13312,9.079911,0,107,1
01051037,25712,Großenrade,Kreis Dithmarschen,Schleswig-Holstein,54.022823,9.222205,54.13312,9.079911,0,482,1
01051038,25774,Groven,Kreis Dithmarschen,Schleswig-Holstein,54.313526,8.9980955,54.13312,9.079911,0,90,1
01051039,25693,Gudendorf,Kreis Dithmarschen,Schleswig-Holstein,54.025467,9.107992,54.13312,9.079911,0,428,1
01051043,25761,Hedwigenkoog,Kreis Dithmarschen,Schleswig-Holstein,54.1833,8.85,54.13312,9.079911,0,218,1
01051044,25746,Heide,Kreis Dithmarschen,Schleswig-Holstein,54.194847,9.092901,54.13312,9.079911,0,21487,1
01051045,25764,Hellschen-Heringsand-Unterschaar,Kreis Dithmarschen,Schleswig-Holstein,54.2,8.85,54.13312,9.079911,0,164,1
01051046,25709,Helse,Kreis Dithmarschen,Schleswig-Holstein,53.976234,9.011996,54.13312,9.079911,0,800,1
01051047,25774,Hemme,Kreis Dithmarschen,Schleswig-Holstein,54.28174,9.009777,54.13312,9.079911,0,499,1
01051048,25770,Hemmingstedt,Kreis Dithmarschen,Schleswig-Holstein,54.150642,9.08263,54.13312,9.079911,0,2860,1
01051049,25779,Hennstedt,Kreis Dithmarschen,Schleswig-Holstein,54.28523,9.16686,54.13312,9.079911,0,2071,1
01051050,25764,Hillgroven,Kreis Dithmarschen,Schleswig-Holstein,54.222137,8.868426,54.13312,9.079911,0,57,1
01051051,25712,Hochdonn,Kreis Dithmarschen,Schleswig-Holstein,54.0232,9.287126,54.13312,9.079911,0,1124,1
01051052,25782,Hövede,Kreis Dithmarschen,Schleswig-Holstein,54.244587,9.293558,54.13312,9.079911,0,64,1
01051053,25788,Hollingstedt,Kreis Dithmarschen,Schleswig-Holstein,54.290802,9.226107,54.13312,9.079911,0,304,1
01051054,25767,Immenstedt,Kreis Dithmarschen,Schleswig-Holstein,54.183563,9.302243,54.13312,9.079911,0,106,0
01051057,25709,Kaiser-Wilhelm-Koog,Kreis Dithmarschen,Schleswig-Holstein,53.94329,8.926004,54.13312,9.079911,0,356,1
01051058,25774,Karolinenkoog,Kreis Dithmarschen,Schleswig-Holstein,54.2833,8.96667,54.13312,9.079911,0,132,1
01051060,25776,Kleve,Kreis Dithmarschen,Schleswig-Holstein,54.295086,9.12477,54.13312,9.079911,0,413,1
01051060,25779,Kleve,Kreis Dithmarschen,Schleswig-Holstein,54.295086,9.12477,54.13312,9.079911,0,413,1
01051061,25774,Krempel,Kreis Dithmarschen,Schleswig-Holstein,54.3167,9.033338,54.13312,9.079911,0,600,1
01051062,25709,Kronprinzenkoog,Kreis Dithmarschen,Schleswig-Holstein,53.970898,8.960952,54.13312,9.079911,0,833,1
01051063,25727,Krumstedt,Kreis Dithmarschen,Schleswig-Holstein,54.068295,9.179477,54.13312,9.079911,0,496,1
01051064,25712,Kuden,Kreis Dithmarschen,Schleswig-Holstein,53.967243,9.194096,54.13312,9.079911,0,622,1
01051065,25774,Lehe,Kreis Dithmarschen,Schleswig-Holstein,54.341454,9.022862,54.13312,9.079911,0,1092,1
01051065,25776,Lehe,Kreis Dithmarschen,Schleswig-Holstein,54.341454,9.022862,54.13312,9.079911,0,1092,1
01051067,25770,Lieth,Kreis Dithmarschen,Schleswig-Holstein,54.155388,9.060752,54.13312,9.079911,0,381,1
01051068,25791,Linden,Kreis Dithmarschen,Schleswig-Holstein,54.251408,9.183823,54.13312,9.079911,0,874,1
01051069,25746,Lohe-Rickelshof,Kreis Dithmarschen,Schleswig-Holstein,54.18774,9.06753,54.13312,9.079911,0,2040,1
01051071,25774,Lunden,Kreis Dithmarschen,Schleswig-Holstein,54.330387,9.02474,54.13312,9.079911,0,1727,1
01051072,25709,Marne,Kreis Dithmarschen,Schleswig-Holstein,53.952118,9.010744,54.13312,9.079911,0,5766,1
01051073,25709,Marnerdeich,Kreis Dithmarschen,Schleswig-Holstein,53.948685,8.990768,54.13312,9.079911,0,395,1
01051074,25704,Meldorf,Kreis Dithmarschen,Schleswig-Holstein,54.08988,9.070633,54.13312,9.079911,0,7180,1
01051075,25792,Neuenkirchen,Kreis Dithmarschen,Schleswig-Holstein,54.23649,8.987787,54.13312,9.079911,0,934,1
01051076,25724,Neufeld,Kreis Dithmarschen,Schleswig-Holstein,53.91004,9.022177,54.13312,9.079911,0,613,1
01051077,25724,Neufelderkoog,Kreis Dithmarschen,Schleswig-Holstein,53.90738,8.977269,54.13312,9.079911,0,116,1
01051078,25704,Nindorf,Kreis Dithmarschen,Schleswig-Holstein,54.086372,9.108862,54.13312,9.079911,0,1095,1
01051079,25764,Norddeich,Kreis Dithmarschen,Schleswig-Holstein,54.217632,8.900175,54.13312,9.079911,0,434,1
01051080,25779,Norderheistedt,Kreis Dithmarschen,Schleswig-Holstein,54.246876,9.139856,54.13312,9.079911,0,131,1
01051081,25746,Norderwöhrden,Kreis Dithmarschen,Schleswig-Holstein,54.2,9.01667,54.13312,9.079911,0,262,1
01051082,25785,Nordhastedt,Kreis Dithmarschen,Schleswig-Holstein,54.172256,9.179751,54.13312,9.079911,0,2803,1
01051083,25785,Odderade,Kreis Dithmarschen,Schleswig-Holstein,54.13853,9.193425,54.13312,9.079911,0,325,1
01051084,25761,Oesterdeichstrich,Kreis Dithmarschen,Schleswig-Holstein,54.1601,8.8981905,54.13312,9.079911,0,310,1
01051085,25767,Offenbüttel,Kreis Dithmarschen,Schleswig-Holstein,54.169144,9.356237,54.13312,9.079911,0,263,0
01051086,25767,Osterrade,Kreis Dithmarschen,Schleswig-Holstein,54.188896,9.3531475,54.13312,9.079911,0,412,0
01051087,25746,Ostrohe,Kreis Dithmarschen,Schleswig-Holstein,54.214664,9.128472,54.13312,9.079911,0,867,1
01051088,25794,Pahlen,Kreis Dithmarschen,Schleswig-Holstein,54.26756,9.295753,54.13312,9.079911,0,1171,1
01051089,25712,Quickborn,Kreis Dithmarschen,Schleswig-Holstein,54.01111,9.211491,54.13312,9.079911,0,188,1
01051090,25715,Ramhusen,Kreis Dithmarschen,Schleswig-Holstein,53.94229,9.082904,54.13312,9.079911,0,160,1
01051092,25776,Rehm-Flehde-Bargen,Kreis Dithmarschen,Schleswig-Holstein,54.297657,9.035576,54.13312,9.079911,0,539,1
01051093,25764,Reinsbüttel,Kreis Dithmarschen,Schleswig-Holstein,54.179977,8.909915,54.13312,9.079911,0,389,1
01051096,25776,Sankt Annen,Kreis Dithmarschen,Schleswig-Holstein,54.349094,9.078174,54.13312,9.079911,0,311,1
01051097,25693,Sankt Michaelisdonn,Kreis Dithmarschen,Schleswig-Holstein,53.9833,9.11667,54.13312,9.079911,0,3539,1
01051098,25785,Sarzbüttel,Kreis Dithmarschen,Schleswig-Holstein,54.1167,9.18333,54.13312,9.079911,0,707,1
01051099,25725,Schafstedt,Kreis Dithmarschen,Schleswig-Holstein,54.08226,9.2960825,54.13312,9.079911,0,1280,0
01051100,25782,Schalkholz,Kreis Dithmarschen,Schleswig-Holstein,54.247,9.257378,54.13312,9.079911,0,578,1
01051102,25779,Schlichting,Kreis Dithmarschen,Schleswig-Holstein,54.318764,9.091028,54.13312,9.079911,0,243,1
01051103,25724,Schmedeswurth,Kreis Dithmarschen,Schleswig-Holstein,53.9268,9.040215,54.13312,9.079911,0,174,1
01051104,25782,Schrum,Kreis Dithmarschen,Schleswig-Holstein,54.185284,9.25332,54.13312,9.079911,0,74,1
01051105,25764,Schülp,Kreis Dithmarschen,Schleswig-Holstein,54.243946,8.934469,54.13312,9.079911,0,369,1
01051107,25795,Stelle-Wittenwurth,Kreis Dithmarschen,Schleswig-Holstein,54.26013,9.055751,54.13312,9.079911,0,460,1
01051108,25792,Strübbel,Kreis Dithmarschen,Schleswig-Holstein,54.26149,8.971193,54.13312,9.079911,0,95,1
01051109,25764,Süderdeich,Kreis Dithmarschen,Schleswig-Holstein,54.199932,8.911557,54.13312,9.079911,0,435,1
01051110,25727,Süderhastedt,Kreis Dithmarschen,Schleswig-Holstein,54.051605,9.209021,54.13312,9.079911,0,771,1
01051113,25797,Wöhrden,Kreis Dithmarschen,Schleswig-Holstein,54.1667,9,54.13312,9.079911,0,1165,1
01051114,25782,Tellingstedt,Kreis Dithmarschen,Schleswig-Holstein,54.21992,9.280779,54.13312,9.079911,0,2673,1
01051117,25794,Tielenhemme,Kreis Dithmarschen,Schleswig-Holstein,54.271324,9.373422,54.13312,9.079911,0,156,1
01051118,25693,Trennewurth,Kreis Dithmarschen,Schleswig-Holstein,54,9.031147,54.13312,9.079911,0,229,1
01051119,25693,Volsemenhusen,Kreis Dithmarschen,Schleswig-Holstein,53.966404,9.063981,54.13312,9.079911,0,328,1
01051120,25788,Wallen,Kreis Dithmarschen,Schleswig-Holstein,54.284847,9.269749,54.13312,9.079911,0,33,1
01051121,25761,Warwerort,Kreis Dithmarschen,Schleswig-Holstein,54.140835,8.922468,54.13312,9.079911,0,226,1
01051122,25795,Weddingstedt,Kreis Dithmarschen,Schleswig-Holstein,54.234425,9.089591,54.13312,9.079911,0,2371,1
01051125,25782,Welmbüttel,Kreis Dithmarschen,Schleswig-Holstein,54.198387,9.246146,54.13312,9.079911,0,406,1
01051126,25767,Wennbüttel,Kreis Dithmarschen,Schleswig-Holstein,54.140335,9.324697,54.13312,9.079911,0,103,0
01051127,25764,Wesselburen,Kreis Dithmarschen,Schleswig-Holstein,54.21234,8.92176,54.13312,9.079911,0,3346,1
01051128,25764,Wesselburener Deichhausen,Kreis Dithmarschen,Schleswig-Holstein,54.174896,8.938105,54.13312,9.079911,0,107,1
01051129,25764,Wesselburenerkoog,Kreis Dithmarschen,Schleswig-Holstein,54.239727,8.878635,54.13312,9.079911,0,165,1
01051130,25746,Wesseln,Kreis Dithmarschen,Schleswig-Holstein,54.20943,9.076305,54.13312,9.079911,0,1368,1
01051131,25782,Westerborstel,Kreis Dithmarschen,Schleswig-Holstein,54.220463,9.261326,54.13312,9.079911,0,117,1
01051132,25761,Westerdeichstrich,Kreis Dithmarschen,Schleswig-Holstein,54.16137,8.863653,54.13312,9.079911,0,797,1
01051133,25779,Wiemerstedt,Kreis Dithmarschen,Schleswig-Holstein,54.26882,9.111735,54.13312,9.079911,0,152,1
01051134,25729,Windbergen,Kreis Dithmarschen,Schleswig-Holstein,54.04582,9.121647,54.13312,9.079911,0,773,1
01051135,25704,Wolmersdorf,Kreis Dithmarschen,Schleswig-Holstein,54.077457,9.104183,54.13312,9.079911,0,318,1
01051136,25799,Wrohm,Kreis Dithmarschen,Schleswig-Holstein,54.2135,9.378701,54.13312,9.079911,0,741,1
01051137,25704,Nordermeldorf,Kreis Dithmarschen,Schleswig-Holstein,54.116886,9.018776,54.13312,9.079911,0,589,1
01051138,25767,Tensbüttel-Röst,Kreis Dithmarschen,Schleswig-Holstein,54.119457,9.239453,54.13312,9.079911,0,647,0
01051139,25782,Süderdorf,Kreis Dithmarschen,Schleswig-Holstein,54.213436,9.336953,54.13312,9.079911,0,362,1
01051140,25764,Oesterwurth,Kreis Dithmarschen,Schleswig-Holstein,54.2167,8.98333,54.13312,9.079911,0,241,1
01051141,25779,Süderheistedt,Kreis Dithmarschen,Schleswig-Holstein,54.235126,9.148643,54.13312,9.079911,0,548,1
01053001,23909,Albsfelde,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.68089,10.696513,53.593666,10.664327,0,74,1
01053002,23881,Alt Mölln,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.6167,10.65,53.593666,10.664327,0,851,1
01053003,21521,Aumühle,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.525047,10.313927,53.593666,10.664327,0,3200,0
01053004,23909,Bäk,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.712482,10.785045,53.593666,10.664327,0,919,1
01053005,23881,Bälau,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.616737,10.622051,53.593666,10.664327,0,225,1
01053006,21483,Basedow,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.418922,10.5843315,53.593666,10.664327,0,633,1
01053007,21493,Basthorst,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.576786,10.473755,53.593666,10.664327,0,437,1
