icd_code
C92
C92.0
C92.00
C92.01
C92.4
C92.40
C92.41
C92.5
C92.50
C92.51
C92.6
C92.60
C92.61
C92.7
C92.70
C92.71
C92.8
C92.80
C92.81
C92.9
C92.90
C92.91
C93
C93.0
C93.00
C93.01
C93.1
C93.10
C93.11
C93.3
C93.30
C93.31
C93.7
C93.70
C93.71
C93.9
C93.90
C93.91
C94
C94.0
C94.00
C94.01
C94.2
C94.20
C94.21
C94.4
C94.40
C94.41
C94.8
